xrays,masks
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\27.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\27.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\28.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\28.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\29.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\29.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\30.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\30.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\31.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\31.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\32.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\32.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\33.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\33.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\34.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\34.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\35.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\35.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\36.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\36.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\37.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\37.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\38.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\38.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\39.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\39.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\40.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\40.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\41.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\41.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\42.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\42.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\43.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\43.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\44.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\44.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\45.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\45.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\46.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\46.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\47.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\47.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\48.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\48.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\49.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\49.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\50.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\50.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\51.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\51.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\52.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\52.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\53.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\53.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\54.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\54.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\55.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\55.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\56.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\56.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\57.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\57.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\58.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\58.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\59.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\59.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\60.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\60.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\61.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\61.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\62.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\62.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\63.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\63.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\64.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\64.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\65.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\65.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\66.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\66.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\67.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\67.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\68.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\68.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\69.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\69.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\70.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\70.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\71.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\71.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\72.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\72.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\73.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\73.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\74.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\74.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\75.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\75.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\76.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\76.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\77.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\77.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\78.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\78.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\79.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\79.png
