images,labels
F:\data\images\pic_63.jpg,F:\data\labels\pic_63.txt
F:\data\images\pic_64.jpg,F:\data\labels\pic_64.txt
F:\data\images\pic_65.jpg,F:\data\labels\pic_65.txt
F:\data\images\pic_66.jpg,F:\data\labels\pic_66.txt
F:\data\images\pic_67.jpg,F:\data\labels\pic_67.txt
F:\data\images\pic_68.jpg,F:\data\labels\pic_68.txt
F:\data\images\pic_69.jpg,F:\data\labels\pic_69.txt
F:\data\images\pic_7.jpg,F:\data\labels\pic_7.txt
F:\data\images\pic_70.jpg,F:\data\labels\pic_70.txt
F:\data\images\pic_71.jpg,F:\data\labels\pic_71.txt
F:\data\images\pic_72.jpg,F:\data\labels\pic_72.txt
F:\data\images\pic_73.jpg,F:\data\labels\pic_73.txt
F:\data\images\pic_74.jpg,F:\data\labels\pic_74.txt
F:\data\images\pic_75.jpg,F:\data\labels\pic_75.txt
F:\data\images\pic_76.jpg,F:\data\labels\pic_76.txt
F:\data\images\pic_77.jpg,F:\data\labels\pic_77.txt
F:\data\images\pic_78.jpg,F:\data\labels\pic_78.txt
F:\data\images\pic_79.jpg,F:\data\labels\pic_79.txt
F:\data\images\pic_8.jpg,F:\data\labels\pic_8.txt
F:\data\images\pic_80.jpg,F:\data\labels\pic_80.txt
F:\data\images\pic_81.jpg,F:\data\labels\pic_81.txt
F:\data\images\pic_82.jpg,F:\data\labels\pic_82.txt
F:\data\images\pic_83.jpg,F:\data\labels\pic_83.txt
F:\data\images\pic_84.jpg,F:\data\labels\pic_84.txt
F:\data\images\pic_85.jpg,F:\data\labels\pic_85.txt
F:\data\images\pic_86.jpg,F:\data\labels\pic_86.txt
F:\data\images\pic_87.jpg,F:\data\labels\pic_87.txt
F:\data\images\pic_88.jpg,F:\data\labels\pic_88.txt
F:\data\images\pic_89.jpg,F:\data\labels\pic_89.txt
F:\data\images\pic_9.jpg,F:\data\labels\pic_9.txt
F:\data\images\pic_90.jpg,F:\data\labels\pic_90.txt
F:\data\images\pic_91.jpg,F:\data\labels\pic_91.txt
F:\data\images\pic_92.jpg,F:\data\labels\pic_92.txt
F:\data\images\pic_93.jpg,F:\data\labels\pic_93.txt
F:\data\images\pic_94.jpg,F:\data\labels\pic_94.txt
F:\data\images\pic_95.jpg,F:\data\labels\pic_95.txt
F:\data\images\pic_96.jpg,F:\data\labels\pic_96.txt
F:\data\images\pic_97.jpg,F:\data\labels\pic_97.txt
F:\data\images\pic_98.jpg,F:\data\labels\pic_98.txt
F:\data\images\pic_99.jpg,F:\data\labels\pic_99.txt
